Date,Asset,Asset Price,Benchmark,Benchmark Price,Asset Return,Benchmark Return
2023-03-23,FinSight Demo Asset,107.05,Global Benchmark Proxy,104.9,-0.0071415321832684064,-0.008787678352074058
2023-03-24,FinSight Demo Asset,108.58,Global Benchmark Proxy,106.0,0.014292386735170526,0.010486177311725298
2023-03-27,FinSight Demo Asset,107.02,Global Benchmark Proxy,104.16,-0.014367286793147915,-0.017358490566037776
2023-03-28,FinSight Demo Asset,105.14,Global Benchmark Proxy,103.83,-0.01756680994206683,-0.0031682027649769795
2023-03-29,FinSight Demo Asset,105.13,Global Benchmark Proxy,104.04,-9.51112801979015e-05,0.0020225368390638376
2023-03-30,FinSight Demo Asset,104.32,Global Benchmark Proxy,104.72,-0.007704746504327953,0.006535947712418277
2023-03-31,FinSight Demo Asset,105.24,Global Benchmark Proxy,105.53,0.008819018404907952,0.0077349121466767645
2023-04-03,FinSight Demo Asset,106.24,Global Benchmark Proxy,106.44,0.009502090459901247,0.008623140339240054
2023-04-04,FinSight Demo Asset,106.63,Global Benchmark Proxy,106.09,0.003670933734939874,-0.003288237504697422
2023-04-05,FinSight Demo Asset,106.99,Global Benchmark Proxy,105.61,0.0033761605551907437,-0.00452446036384202
2023-04-06,FinSight Demo Asset,108.24,Global Benchmark Proxy,106.59,0.011683334891111397,0.009279424296941619
2023-04-07,FinSight Demo Asset,107.69,Global Benchmark Proxy,106.41,-0.005081300813008061,-0.0016887137630172688
2023-04-10,FinSight Demo Asset,106.54,Global Benchmark Proxy,105.02,-0.01067880026000545,-0.013062682078752053
2023-04-11,FinSight Demo Asset,104.85,Global Benchmark Proxy,103.8,-0.015862586821851044,-0.011616834888592664
2023-04-12,FinSight Demo Asset,103.81,Global Benchmark Proxy,102.84,-0.009918931807343712,-0.009248554913294793
2023-04-13,FinSight Demo Asset,105.14,Global Benchmark Proxy,103.41,0.012811867835468727,0.005542590431738548
2023-04-14,FinSight Demo Asset,104.97,Global Benchmark Proxy,103.59,-0.0016168917633631041,0.0017406440382943256
2023-04-17,FinSight Demo Asset,106.42,Global Benchmark Proxy,104.38,0.013813470515385395,0.0076262187469833265
2023-04-18,FinSight Demo Asset,106.45,Global Benchmark Proxy,103.94,0.0002819018981394805,-0.004215366928530306
2023-04-19,FinSight Demo Asset,106.01,Global Benchmark Proxy,104.15,-0.00413339596054485,0.0020203963825284887
2023-04-20,FinSight Demo Asset,107.52,Global Benchmark Proxy,104.87,0.01424393925101386,0.006913106096975596
2023-04-21,FinSight Demo Asset,107.71,Global Benchmark Proxy,104.56,0.0017671130952381375,-0.0029560408124345017
2023-04-24,FinSight Demo Asset,108.4,Global Benchmark Proxy,105.09,0.006406090428001221,0.005068859984697749
2023-04-25,FinSight Demo Asset,107.08,Global Benchmark Proxy,104.4,-0.01217712177121777,-0.006565800742220906
2023-04-26,FinSight Demo Asset,106.07,Global Benchmark Proxy,104.03,-0.009432200224131493,-0.0035440613026820333
2023-04-27,FinSight Demo Asset,105.28,Global Benchmark Proxy,103.65,-0.00744791175638726,-0.0036527924637123066
2023-04-28,FinSight Demo Asset,104.29,Global Benchmark Proxy,102.38,-0.009403495440729381,-0.012252773757838953
2023-05-01,FinSight Demo Asset,104.25,Global Benchmark Proxy,102.94,-0.00038354588167610615,0.005469818323891484
2023-05-02,FinSight Demo Asset,104.06,Global Benchmark Proxy,102.46,-0.0018225419664268383,-0.0046629104332621685
2023-05-03,FinSight Demo Asset,103.25,Global Benchmark Proxy,102.51,-0.007783970786084948,0.0004879953152450156
2023-05-04,FinSight Demo Asset,103.72,Global Benchmark Proxy,103.06,0.004552058111380042,0.005365330211686725
2023-05-05,FinSight Demo Asset,104.38,Global Benchmark Proxy,103.58,0.006363285769379168,0.005045604502231571
2023-05-08,FinSight Demo Asset,106.96,Global Benchmark Proxy,104.33,0.024717378808200685,0.007240780073373143
2023-05-09,FinSight Demo Asset,105.89,Global Benchmark Proxy,104.26,-0.010003739715781501,-0.0006709479536086693
2023-05-10,FinSight Demo Asset,106.5,Global Benchmark Proxy,103.83,0.005760695060912369,-0.004124304623057795
2023-05-11,FinSight Demo Asset,106.57,Global Benchmark Proxy,103.77,0.000657276995305045,-0.0005778676683040329
2023-05-12,FinSight Demo Asset,104.88,Global Benchmark Proxy,101.97,-0.015858121422539173,-0.017346053772766656
2023-05-15,FinSight Demo Asset,103.3,Global Benchmark Proxy,100.45,-0.015064836003051085,-0.014906345003432353
2023-05-16,FinSight Demo Asset,102.12,Global Benchmark Proxy,99.09,-0.011423039690222625,-0.013539074166251885
2023-05-17,FinSight Demo Asset,100.91,Global Benchmark Proxy,98.08,-0.011848805327066225,-0.01019275406196396
2023-05-18,FinSight Demo Asset,102.42,Global Benchmark Proxy,98.53,0.014963829154692299,0.004588091353996848
2023-05-19,FinSight Demo Asset,101.1,Global Benchmark Proxy,97.62,-0.012888107791447001,-0.009235765756622327
2023-05-22,FinSight Demo Asset,101.5,Global Benchmark Proxy,97.26,0.003956478733926794,-0.003687768899815591
2023-05-23,FinSight Demo Asset,102.61,Global Benchmark Proxy,98.62,0.010935960591132998,0.013983137980670302
2023-05-24,FinSight Demo Asset,102.2,Global Benchmark Proxy,98.28,-0.003995711918916234,-0.003447576556479426
2023-05-25,FinSight Demo Asset,102.37,Global Benchmark Proxy,99.08,0.0016634050880626194,0.008140008140008037
2023-05-26,FinSight Demo Asset,101.65,Global Benchmark Proxy,98.14,-0.007033310540197291,-0.00948728300363344
2023-05-29,FinSight Demo Asset,102.47,Global Benchmark Proxy,97.96,0.00806689621249368,-0.0018341145302629425
2023-05-30,FinSight Demo Asset,101.36,Global Benchmark Proxy,97.01,-0.010832438762564678,-0.009697835851367742
2023-05-31,FinSight Demo Asset,100.89,Global Benchmark Proxy,96.7,-0.004636937647987338,-0.003195546850840114
2023-06-01,FinSight Demo Asset,101.14,Global Benchmark Proxy,97.58,0.0024779462781245876,0.009100310237849074
2023-06-02,FinSight Demo Asset,99.06,Global Benchmark Proxy,95.84,-0.020565552699228773,-0.01783152285304357
2023-06-05,FinSight Demo Asset,98.52,Global Benchmark Proxy,96.31,-0.00545124167171418,0.004904006677796335
2023-06-06,FinSight Demo Asset,98.23,Global Benchmark Proxy,96.58,-0.0029435647584246105,0.0028034472017444134
2023-06-07,FinSight Demo Asset,97.77,Global Benchmark Proxy,96.01,-0.004682887101700173,-0.005901843031683507
2023-06-08,FinSight Demo Asset,97.1,Global Benchmark Proxy,94.58,-0.006852817837782577,-0.014894281845641122
2023-06-09,FinSight Demo Asset,99.08,Global Benchmark Proxy,94.69,0.020391349124613933,0.001163036582787047
2023-06-12,FinSight Demo Asset,98.14,Global Benchmark Proxy,94.19,-0.00948728300363344,-0.005280388636603628
2023-06-13,FinSight Demo Asset,99.41,Global Benchmark Proxy,94.45,0.012940696963521514,0.0027603779594438382
2023-06-14,FinSight Demo Asset,99.65,Global Benchmark Proxy,94.5,0.002414244039835145,0.000529380624669118
2023-06-15,FinSight Demo Asset,101.41,Global Benchmark Proxy,96.12,0.017661816357250393,0.017142857142857126
2023-06-16,FinSight Demo Asset,101.49,Global Benchmark Proxy,95.91,0.0007888768366037802,-0.002184769038701684
2023-06-19,FinSight Demo Asset,100.41,Global Benchmark Proxy,94.91,-0.010641442506650889,-0.010426441455531177
2023-06-20,FinSight Demo Asset,100.74,Global Benchmark Proxy,95.12,0.0032865252464893135,0.0022126224844589704
2023-06-21,FinSight Demo Asset,100.76,Global Benchmark Proxy,95.37,0.00019853087155063953,0.0026282590412110007
2023-06-22,FinSight Demo Asset,101.41,Global Benchmark Proxy,96.76,0.006450972608177841,0.014574813882772375
2023-06-23,FinSight Demo Asset,101.36,Global Benchmark Proxy,97.64,-0.0004930480228774181,0.009094667217858676
2023-06-26,FinSight Demo Asset,102.28,Global Benchmark Proxy,98.04,0.00907655880031566,0.004096681687832948
2023-06-27,FinSight Demo Asset,103.83,Global Benchmark Proxy,99.58,0.01515447790379354,0.015707874337005157
2023-06-28,FinSight Demo Asset,102.07,Global Benchmark Proxy,98.36,-0.016950784936916152,-0.0122514561156859
2023-06-29,FinSight Demo Asset,101.39,Global Benchmark Proxy,97.73,-0.006662094640932592,-0.0064050427002846355
2023-06-30,FinSight Demo Asset,100.92,Global Benchmark Proxy,96.82,-0.004635565637636785,-0.009311368054845115
2023-07-03,FinSight Demo Asset,100.65,Global Benchmark Proxy,96.45,-0.0026753864447086606,-0.0038215244784134406
2023-07-04,FinSight Demo Asset,98.69,Global Benchmark Proxy,95.09,-0.01947342275211139,-0.014100570243649524
2023-07-05,FinSight Demo Asset,100.27,Global Benchmark Proxy,95.75,0.01600972742932405,0.006940792933010753
2023-07-06,FinSight Demo Asset,101.15,Global Benchmark Proxy,95.56,0.008776303979256106,-0.0019843342036552913
2023-07-07,FinSight Demo Asset,99.85,Global Benchmark Proxy,94.11,-0.012852199703410894,-0.015173712850565124
2023-07-10,FinSight Demo Asset,99.42,Global Benchmark Proxy,93.14,-0.004306459689534248,-0.010307087450855401
2023-07-11,FinSight Demo Asset,100.66,Global Benchmark Proxy,93.48,0.012472339569503,0.0036504187245007813
2023-07-12,FinSight Demo Asset,102.45,Global Benchmark Proxy,94.33,0.017782634611563708,0.009092854086435453
2023-07-13,FinSight Demo Asset,105.25,Global Benchmark Proxy,96.34,0.027330405075646658,0.02130817343369018
2023-07-14,FinSight Demo Asset,109.21,Global Benchmark Proxy,99.31,0.03762470308788601,0.03082831637948935
2023-07-17,FinSight Demo Asset,110.17,Global Benchmark Proxy,99.78,0.008790403809175062,0.0047326553217199585
2023-07-18,FinSight Demo Asset,108.17,Global Benchmark Proxy,98.77,-0.018153762367250637,-0.010122268991781924
2023-07-19,FinSight Demo Asset,106.12,Global Benchmark Proxy,96.59,-0.018951650180271784,-0.02207147919408725
2023-07-20,FinSight Demo Asset,105.52,Global Benchmark Proxy,96.9,-0.00565397663023004,0.0032094419712185296
2023-07-21,FinSight Demo Asset,104.03,Global Benchmark Proxy,96.1,-0.014120545868081869,-0.008255933952528549
2023-07-24,FinSight Demo Asset,104.52,Global Benchmark Proxy,95.71,0.004710179755839539,-0.004058272632674331
2023-07-25,FinSight Demo Asset,104.45,Global Benchmark Proxy,95.13,-0.0006697282816685579,-0.006059972834604466
2023-07-26,FinSight Demo Asset,105.39,Global Benchmark Proxy,95.02,0.008999521302058389,-0.0011563124145905768
2023-07-27,FinSight Demo Asset,106.53,Global Benchmark Proxy,96.11,0.010816965556504465,0.011471269206482892
2023-07-28,FinSight Demo Asset,105.94,Global Benchmark Proxy,96.3,-0.0055383460058200384,0.00197690146706897
2023-07-31,FinSight Demo Asset,105.63,Global Benchmark Proxy,96.17,-0.002926184632811024,-0.0013499480789199714
2023-08-01,FinSight Demo Asset,104.52,Global Benchmark Proxy,95.16,-0.010508378301618881,-0.010502235624415102
2023-08-02,FinSight Demo Asset,102.65,Global Benchmark Proxy,93.51,-0.017891312667431936,-0.01733921815889017
2023-08-03,FinSight Demo Asset,102.92,Global Benchmark Proxy,93.07,0.0026302971261567,-0.00470537910383928
2023-08-04,FinSight Demo Asset,102.66,Global Benchmark Proxy,93.04,-0.0025262339681306756,-0.00032233802514225474
2023-08-07,FinSight Demo Asset,105.02,Global Benchmark Proxy,94.8,0.02298850574712641,0.018916595012897552
2023-08-08,FinSight Demo Asset,104.52,Global Benchmark Proxy,94.96,-0.004760997905160935,0.0016877637130801038
2023-08-09,FinSight Demo Asset,106.06,Global Benchmark Proxy,95.97,0.014734022196708718,0.01063605728727901
2023-08-10,FinSight Demo Asset,105.52,Global Benchmark Proxy,95.5,-0.005091457665472476,-0.004897363759508222
2023-08-11,FinSight Demo Asset,103.62,Global Benchmark Proxy,94.34,-0.01800606520090975,-0.012146596858638725
2023-08-14,FinSight Demo Asset,102.38,Global Benchmark Proxy,93.41,-0.011966801775719071,-0.009857960568157798
2023-08-15,FinSight Demo Asset,101.46,Global Benchmark Proxy,92.73,-0.008986130103535883,-0.0072797345038003725
2023-08-16,FinSight Demo Asset,103.78,Global Benchmark Proxy,94.84,0.022866154149418616,0.02275423271864563
2023-08-17,FinSight Demo Asset,104.11,Global Benchmark Proxy,94.05,0.0031798034303334166,-0.008329818641923281
2023-08-18,FinSight Demo Asset,105.09,Global Benchmark Proxy,94.91,0.009413120737681302,0.009144072301967121
2023-08-21,FinSight Demo Asset,103.89,Global Benchmark Proxy,94.04,-0.011418783899514673,-0.009166578864187036
2023-08-22,FinSight Demo Asset,103.56,Global Benchmark Proxy,94.99,-0.003176436615651146,0.010102084219481
2023-08-23,FinSight Demo Asset,103.44,Global Benchmark Proxy,95.4,-0.0011587485515643925,0.00431624381513851
2023-08-24,FinSight Demo Asset,103.13,Global Benchmark Proxy,95.27,-0.0029969064191802675,-0.0013626834381552655
2023-08-25,FinSight Demo Asset,102.65,Global Benchmark Proxy,95.26,-0.004654319790555528,-0.00010496483677957524
2023-08-28,FinSight Demo Asset,102.91,Global Benchmark Proxy,94.64,0.002532878714076814,-0.00650850304429984
2023-08-29,FinSight Demo Asset,103.37,Global Benchmark Proxy,95.11,0.004469925177339462,0.004966187658495436
2023-08-30,FinSight Demo Asset,103.79,Global Benchmark Proxy,94.69,0.004063074392957278,-0.0044159394385449025
2023-08-31,FinSight Demo Asset,102.45,Global Benchmark Proxy,93.5,-0.012910685037094138,-0.012567324955116699
2023-09-01,FinSight Demo Asset,101.04,Global Benchmark Proxy,92.28,-0.013762811127379204,-0.013048128342246001
2023-09-04,FinSight Demo Asset,101.23,Global Benchmark Proxy,92.47,0.001880443388756925,0.0020589510186388438
2023-09-05,FinSight Demo Asset,103.1,Global Benchmark Proxy,94.04,0.018472784747604276,0.01697847950686726
2023-09-06,FinSight Demo Asset,104.55,Global Benchmark Proxy,94.22,0.014064015518913786,0.0019140791152700842
2023-09-07,FinSight Demo Asset,102.81,Global Benchmark Proxy,94.14,-0.01664275466284071,-0.0008490766291657792
2023-09-08,FinSight Demo Asset,101.8,Global Benchmark Proxy,94.45,-0.009823947086859297,0.0032929679201190165
2023-09-11,FinSight Demo Asset,102.99,Global Benchmark Proxy,95.77,0.011689587426326087,0.013975648491265202
2023-09-12,FinSight Demo Asset,103.31,Global Benchmark Proxy,96.03,0.003107097776483325,0.002714837631826228
2023-09-13,FinSight Demo Asset,103.37,Global Benchmark Proxy,95.64,0.0005807763043268466,-0.0040612308653545925
2023-09-14,FinSight Demo Asset,105.05,Global Benchmark Proxy,96.78,0.016252297571829333,0.011919698870765272
2023-09-15,FinSight Demo Asset,105.34,Global Benchmark Proxy,97.25,0.002760590195145296,0.004856375284149506
2023-09-18,FinSight Demo Asset,107.96,Global Benchmark Proxy,98.85,0.024871843554205242,0.01645244215938302
2023-09-19,FinSight Demo Asset,109.0,Global Benchmark Proxy,99.07,0.009633197480548361,0.002225594334850811
2023-09-20,FinSight Demo Asset,107.68,Global Benchmark Proxy,97.83,-0.012110091743119167,-0.012516402543655936
2023-09-21,FinSight Demo Asset,106.77,Global Benchmark Proxy,96.46,-0.008450965824665757,-0.014003884289072954
2023-09-22,FinSight Demo Asset,109.02,Global Benchmark Proxy,98.16,0.021073335206518662,0.017623885548413876
2023-09-25,FinSight Demo Asset,110.79,Global Benchmark Proxy,99.97,0.016235553109521295,0.018439282803585977
2023-09-26,FinSight Demo Asset,111.15,Global Benchmark Proxy,99.81,0.0032493907392363575,-0.001600480144043126
2023-09-27,FinSight Demo Asset,110.81,Global Benchmark Proxy,99.44,-0.003058929374718855,-0.003707043382426667
2023-09-28,FinSight Demo Asset,112.71,Global Benchmark Proxy,101.0,0.017146466925367587,0.015687851971037725
2023-09-29,FinSight Demo Asset,112.48,Global Benchmark Proxy,99.86,-0.0020406352586282983,-0.011287128712871297
2023-10-02,FinSight Demo Asset,109.52,Global Benchmark Proxy,98.95,-0.026315789473684292,-0.009112757861005405
2023-10-03,FinSight Demo Asset,109.32,Global Benchmark Proxy,99.65,-0.0018261504747991708,0.0070742799393632705
2023-10-04,FinSight Demo Asset,108.01,Global Benchmark Proxy,99.27,-0.011983168679107092,-0.003813346713497312
2023-10-05,FinSight Demo Asset,107.79,Global Benchmark Proxy,99.3,-0.0020368484399592157,0.0003022061045632185
2023-10-06,FinSight Demo Asset,107.46,Global Benchmark Proxy,99.16,-0.003061508488728215,-0.0014098690835850913
2023-10-09,FinSight Demo Asset,106.83,Global Benchmark Proxy,99.54,-0.005862646566164087,0.0038321903993547846
2023-10-10,FinSight Demo Asset,107.88,Global Benchmark Proxy,101.04,0.009828699803426044,0.015069318866787196
2023-10-11,FinSight Demo Asset,107.41,Global Benchmark Proxy,101.17,-0.004356692621431235,0.001286619160728364
2023-10-12,FinSight Demo Asset,110.05,Global Benchmark Proxy,101.89,0.024578717065450117,0.007116734209746012
2023-10-13,FinSight Demo Asset,108.9,Global Benchmark Proxy,99.73,-0.01044979554747838,-0.02119933261360285
2023-10-16,FinSight Demo Asset,108.59,Global Benchmark Proxy,99.71,-0.002846648301193744,-0.00020054146194736777
2023-10-17,FinSight Demo Asset,107.34,Global Benchmark Proxy,98.86,-0.011511188875587108,-0.00852472169290941
2023-10-18,FinSight Demo Asset,105.07,Global Benchmark Proxy,97.62,-0.021147754797838703,-0.012542990086991668
2023-10-19,FinSight Demo Asset,102.72,Global Benchmark Proxy,96.75,-0.022366041686494698,-0.008912108174554456
2023-10-20,FinSight Demo Asset,102.3,Global Benchmark Proxy,96.45,-0.004088785046728938,-0.0031007751937983663
2023-10-23,FinSight Demo Asset,102.72,Global Benchmark Proxy,97.4,0.004105571847507372,0.009849663037843515
2023-10-24,FinSight Demo Asset,101.17,Global Benchmark Proxy,96.08,-0.015089563862928368,-0.013552361396304002
2023-10-25,FinSight Demo Asset,100.16,Global Benchmark Proxy,96.14,-0.00998319659978264,0.0006244796003331832
2023-10-26,FinSight Demo Asset,99.14,Global Benchmark Proxy,95.68,-0.010183706070287513,-0.004784688995215225
2023-10-27,FinSight Demo Asset,98.93,Global Benchmark Proxy,95.38,-0.002118216663304362,-0.0031354515050168175
2023-10-30,FinSight Demo Asset,100.35,Global Benchmark Proxy,96.42,0.014353583341756737,0.010903753407423
2023-10-31,FinSight Demo Asset,101.3,Global Benchmark Proxy,96.99,0.009466865969108174,0.005911636589919
2023-11-01,FinSight Demo Asset,101.98,Global Benchmark Proxy,98.39,0.006712734452122504,0.01443447778121465
2023-11-02,FinSight Demo Asset,102.45,Global Benchmark Proxy,98.26,0.004608746813100639,-0.0013212724870412806
2023-11-03,FinSight Demo Asset,101.14,Global Benchmark Proxy,97.57,-0.01278672523182045,-0.007022186037044742
2023-11-06,FinSight Demo Asset,101.37,Global Benchmark Proxy,97.38,0.0022740755388570566,-0.0019473198729117458
2023-11-07,FinSight Demo Asset,101.69,Global Benchmark Proxy,97.65,0.003156752490874881,0.0027726432532348966
2023-11-08,FinSight Demo Asset,101.0,Global Benchmark Proxy,97.87,-0.0067853279575179615,0.00225294418842803
2023-11-09,FinSight Demo Asset,99.59,Global Benchmark Proxy,96.78,-0.013960396039603973,-0.011137222846633321
2023-11-10,FinSight Demo Asset,99.99,Global Benchmark Proxy,96.91,0.0040164675168188335,0.0013432527381689319
2023-11-13,FinSight Demo Asset,100.72,Global Benchmark Proxy,97.17,0.007300730073007244,0.002682901661335224
2023-11-14,FinSight Demo Asset,103.55,Global Benchmark Proxy,99.77,0.028097696584590937,0.026757229597612397
2023-11-15,FinSight Demo Asset,106.89,Global Benchmark Proxy,101.77,0.03225494929985517,0.020046106043901002
2023-11-16,FinSight Demo Asset,106.65,Global Benchmark Proxy,100.89,-0.0022452989054166927,-0.008646949002652948
2023-11-17,FinSight Demo Asset,106.17,Global Benchmark Proxy,100.62,-0.004500703234880499,-0.00267618198037467
2023-11-20,FinSight Demo Asset,105.0,Global Benchmark Proxy,99.1,-0.011020062164453281,-0.015106340687736086
2023-11-21,FinSight Demo Asset,105.74,Global Benchmark Proxy,98.52,0.007047619047618969,-0.005852674066599395
2023-11-22,FinSight Demo Asset,107.58,Global Benchmark Proxy,98.88,0.017401172687724564,0.0036540803897686658
2023-11-23,FinSight Demo Asset,108.21,Global Benchmark Proxy,100.16,0.005856107083100914,0.012944983818770295
2023-11-24,FinSight Demo Asset,106.69,Global Benchmark Proxy,99.43,-0.01404676092782553,-0.00728833865814682
2023-11-27,FinSight Demo Asset,107.03,Global Benchmark Proxy,98.77,0.003186802886868456,-0.0066378356632808
2023-11-28,FinSight Demo Asset,103.71,Global Benchmark Proxy,96.58,-0.031019340371858384,-0.022172724511491326
2023-11-29,FinSight Demo Asset,102.64,Global Benchmark Proxy,96.45,-0.010317230739562144,-0.001346034375647065
2023-11-30,FinSight Demo Asset,101.12,Global Benchmark Proxy,95.4,-0.014809041309430948,-0.010886469673405896
2023-12-01,FinSight Demo Asset,100.85,Global Benchmark Proxy,94.9,-0.002670094936709,-0.00524109014675056
2023-12-04,FinSight Demo Asset,99.83,Global Benchmark Proxy,94.06,-0.010114030738720858,-0.008851422550052668
2023-12-05,FinSight Demo Asset,99.34,Global Benchmark Proxy,93.99,-0.004908344185114655,-0.0007442058260686002
