month,business_unit,cost_category,revenue,budget,actual,variance,variance_pct
2025-02-01,India,Travel,2214974.71,132898.48,143193.1,10294.619999999995,0.07746228549792289
2025-02-01,India,Software,2214974.71,265796.97,230012.83,-35784.139999999985,-0.13462960093186913
2025-02-01,India,Professional Services,2214974.71,221497.47,215563.38,-5934.0899999999965,-0.02679078004818744
2025-02-01,India,Facilities,2214974.71,155048.23,157067.0,2018.7699999999895,0.013020271176265537
2025-02-01,India,Marketing,2214974.71,155048.23,162319.65,7271.419999999984,0.046897794318580634
2025-03-01,North America,Payroll,5782531.18,2428663.1,2582804.95,154141.8500000001,0.0634677778074695
2025-03-01,North America,Cloud,5782531.18,925204.99,899393.62,-25811.369999999995,-0.027898001285098988
2025-03-01,North America,Travel,5782531.18,346951.87,334118.77,-12833.099999999977,-0.036988127488691666
2025-03-01,North America,Software,5782531.18,693903.74,741531.96,47628.21999999997,0.06863807939700681
2025-03-01,North America,Professional Services,5782531.18,578253.12,569403.33,-8849.790000000037,-0.015304353221648052
2025-03-01,North America,Facilities,5782531.18,404777.18,363467.69,-41309.48999999999,-0.10205488856856998
2025-03-01,North America,Marketing,5782531.18,404777.18,368078.88,-36698.29999999999,-0.09066296672159233
2025-03-01,EMEA,Payroll,3780357.42,1587750.12,1650899.48,63149.35999999987,0.03977285796079793
2025-03-01,EMEA,Cloud,3780357.42,604857.19,611748.97,6891.780000000028,0.011394061464326859
2025-03-01,EMEA,Travel,3780357.42,226821.45,239350.8,12529.349999999977,0.05523882331234536
2025-03-01,EMEA,Software,3780357.42,453642.89,438137.28,-15505.609999999986,-0.034180211663848596
2025-03-01,EMEA,Professional Services,3780357.42,378035.74,382830.44,4794.700000000012,0.01268319233520093
2025-03-01,EMEA,Facilities,3780357.42,264625.02,277868.77,13243.75,0.05004723287314253
2025-03-01,EMEA,Marketing,3780357.42,264625.02,258076.15,-6548.870000000024,-0.02474773549379429
2025-03-01,APAC,Payroll,3086614.43,1296378.06,1227729.56,-68648.5,-0.05295407421504804
2025-03-01,APAC,Cloud,3086614.43,493858.31,479514.54,-14343.770000000019,-0.029044302200766894
2025-03-01,APAC,Travel,3086614.43,185196.87,179541.13,-5655.739999999991,-0.030539069045821297
2025-03-01,APAC,Software,3086614.43,370393.73,334959.21,-35434.51999999996,-0.09566717017590973
2025-03-01,APAC,Professional Services,3086614.43,308661.44,320686.21,12024.770000000019,0.038957797903100624
2025-03-01,APAC,Facilities,3086614.43,216063.01,207949.37,-8113.640000000014,-0.037552193686462176
2025-03-01,APAC,Marketing,3086614.43,216063.01,216278.97,215.95999999999185,0.0009995232409286154
2025-03-01,India,Payroll,2316872.51,973086.45,1007847.53,34761.080000000075,0.03572249927023449
2025-03-01,India,Cloud,2316872.51,370699.6,390432.24,19732.640000000014,0.053230810068314115
2025-03-01,India,Travel,2316872.51,139012.35,137917.09,-1095.2600000000093,-0.007878868316376273
2025-03-01,India,Software,2316872.51,278024.7,268609.71,-9414.98999999999,-0.033863861736025576
2025-03-01,India,Professional Services,2316872.51,231687.25,230209.68,-1477.570000000007,-0.006377433371927057
2025-03-01,India,Facilities,2316872.51,162181.08,140288.78,-21892.29999999999,-0.1349867691101822
2025-03-01,India,Marketing,2316872.51,162181.08,143405.54,-18775.53999999998,-0.11576899105616993
2025-04-01,North America,Payroll,5404770.38,2270003.56,2088903.25,-181100.31000000006,-0.0797797471295596
2025-04-01,North America,Cloud,5404770.38,864763.26,892420.07,27656.80999999994,0.03198194382124876
2025-04-01,North America,Travel,5404770.38,324286.22,300795.47,-23490.75,-0.07243832315785728
2025-04-01,North America,Software,5404770.38,648572.45,628951.18,-19621.269999999902,-0.030253011826203692
2025-04-01,North America,Professional Services,5404770.38,540477.04,596653.28,56176.23999999999,0.10393825425035629
2025-04-01,North America,Facilities,5404770.38,378333.93,367550.99,-10782.940000000002,-0.028501118046694893
2025-04-01,North America,Marketing,5404770.38,378333.93,400656.1,22322.169999999984,0.05900123734606617
2025-04-01,EMEA,Payroll,3795192.4,1593980.81,1567783.72,-26197.090000000084,-0.01643500965359808
2025-04-01,EMEA,Cloud,3795192.4,607230.78,561080.17,-46150.609999999986,-0.07600176328347516
2025-04-01,EMEA,Travel,3795192.4,227711.54,221535.4,-6176.140000000014,-0.02712264824171851
2025-04-01,EMEA,Software,3795192.4,455423.09,486038.75,30615.659999999974,0.06722465477101737
2025-04-01,EMEA,Professional Services,3795192.4,379519.24,327075.13,-52444.109999999986,-0.13818564244595344
2025-04-01,EMEA,Facilities,3795192.4,265663.47,274896.31,9232.840000000026,0.034753893713727474
2025-04-01,EMEA,Marketing,3795192.4,265663.47,270716.08,5052.610000000044,0.01901883612376231
2025-04-01,APAC,Payroll,2988072.67,1254990.52,1109807.41,-145183.1100000001,-0.11568462684483075
2025-04-01,APAC,Cloud,2988072.67,478091.63,480850.39,2758.7600000000093,0.0057703582888493764
2025-04-01,APAC,Travel,2988072.67,179284.36,171689.98,-7594.379999999976,-0.0423594116073481
2025-04-01,APAC,Software,2988072.67,358568.72,365243.15,6674.430000000051,0.018614088813993734
2025-04-01,APAC,Professional Services,2988072.67,298807.27,299329.63,522.359999999986,0.001748150237442302
2025-04-01,APAC,Facilities,2988072.67,209165.09,235967.98,26802.890000000014,0.12814227268995995
2025-04-01,APAC,Marketing,2988072.67,209165.09,205159.9,-4005.1900000000023,-0.019148463063315215
2025-04-01,India,Payroll,2206662.62,926798.3,940090.49,13292.189999999944,0.014342052634321777
2025-04-01,India,Cloud,2206662.62,353066.02,359279.89,6213.869999999995,0.01759973956145651
2025-04-01,India,Travel,2206662.62,132399.76,146796.25,14396.48999999999,0.10873501583386548
2025-04-01,India,Software,2206662.62,264799.51,282490.48,17690.969999999972,0.06680892272043847
2025-04-01,India,Professional Services,2206662.62,220666.26,226966.21,6299.9499999999825,0.028549674970700017
2025-04-01,India,Facilities,2206662.62,154466.38,172548.87,18082.48999999999,0.1170642440121921
2025-04-01,India,Marketing,2206662.62,154466.38,139776.47,-14689.910000000003,-0.09510101809856619
2025-05-01,North America,Payroll,5487403.64,2304709.53,2133870.46,-170839.06999999983,-0.07412607436044222
2025-05-01,North America,Cloud,5487403.64,877984.58,850604.82,-27379.76000000001,-0.031184784589269224
2025-05-01,North America,Travel,5487403.64,329244.22,292982.94,-36261.27999999997,-0.11013490229228617
2025-05-01,North America,Software,5487403.64,658488.44,691947.6,33459.16000000003,0.050812068925614
2025-05-01,North America,Professional Services,5487403.64,548740.36,538984.96,-9755.400000000023,-0.017777806611491132
2025-05-01,North America,Facilities,5487403.64,384118.25,338921.17,-45197.080000000016,-0.11766449524332681
2025-05-01,North America,Marketing,5487403.64,384118.25,352910.06,-31208.190000000002,-0.08124630891659014
2025-05-01,EMEA,Payroll,3928624.84,1650022.43,1760656.65,110634.21999999997,0.06705013094882593
2025-05-01,EMEA,Cloud,3928624.84,628579.97,728988.38,100408.41000000003,0.15973848164458698
2025-05-01,EMEA,Travel,3928624.84,235717.49,290665.36,54947.869999999995,0.23310900688786393
2025-05-01,EMEA,Software,3928624.84,471434.98,487064.35,15629.369999999995,0.03315275841432046
2025-05-01,EMEA,Professional Services,3928624.84,392862.48,361762.29,-31100.190000000002,-0.07916304453405681
2025-05-01,EMEA,Facilities,3928624.84,275003.74,228098.08,-46905.66,-0.1705637166970893
2025-05-01,EMEA,Marketing,3928624.84,275003.74,280893.47,5889.729999999981,0.021416908730041203
2025-05-01,APAC,Payroll,2936434.93,1233302.67,1192321.77,-40980.89999999991,-0.03322858289117294
2025-05-01,APAC,Cloud,2936434.93,469829.59,446823.09,-23006.5,-0.048967754457525756
2025-05-01,APAC,Travel,2936434.93,176186.1,174201.66,-1984.4400000000023,-0.011263317594293774
2025-05-01,APAC,Software,2936434.93,352372.19,382421.93,30049.73999999999,0.08527840974056435
2025-05-01,APAC,Professional Services,2936434.93,293643.49,297332.8,3689.3099999999977,0.012563908704395244
2025-05-01,APAC,Facilities,2936434.93,205550.45,202941.85,-2608.600000000006,-0.012690801698561136
2025-05-01,APAC,Marketing,2936434.93,205550.45,188520.12,-17030.330000000016,-0.08285231192634225
2025-05-01,India,Payroll,2133956.6,896261.77,861393.04,-34868.72999999998,-0.038904627160433254
2025-05-01,India,Cloud,2133956.6,341433.06,339964.0,-1469.0599999999977,-0.004302629628191241
2025-05-01,India,Travel,2133956.6,128037.4,146146.29,18108.890000000014,0.1414343777677461
2025-05-01,India,Software,2133956.6,256074.79,258743.59,2668.7999999999884,0.010421955242060292
2025-05-01,India,Professional Services,2133956.6,213395.66,230172.65,16776.98999999999,0.07861917154266394
2025-05-01,India,Facilities,2133956.6,149376.96,143410.3,-5966.6600000000035,-0.039943643249936295
2025-05-01,India,Marketing,2133956.6,149376.96,135216.7,-14160.25999999998,-0.09479547582170625
2025-06-01,North America,Payroll,5327819.41,2237684.15,2107858.0,-129826.1499999999,-0.05801808534953421
2025-06-01,North America,Cloud,5327819.41,852451.11,997604.42,145153.31000000006,0.17027757756101702
2025-06-01,North America,Travel,5327819.41,319669.16,298663.41,-21005.75,-0.06571090561254017
2025-06-01,North America,Software,5327819.41,639338.33,682224.59,42886.26000000001,0.06707913163911197
2025-06-01,North America,Professional Services,5327819.41,532781.94,494296.88,-38485.05999999994,-0.07223416769720074
2025-06-01,North America,Facilities,5327819.41,372947.36,400741.57,27794.21000000002,0.07452582584308955
2025-06-01,North America,Marketing,5327819.41,372947.36,384432.67,11485.309999999998,0.030796061942897246
2025-06-01,EMEA,Payroll,3796511.55,1594534.85,1589335.07,-5199.780000000028,-0.0032610011628156185
2025-06-01,EMEA,Cloud,3796511.55,607441.85,575622.21,-31819.640000000014,-0.05238302234197399
2025-06-01,EMEA,Travel,3796511.55,227790.69,235919.58,8128.889999999985,0.03568578680717805
2025-06-01,EMEA,Software,3796511.55,455581.39,438998.83,-16582.559999999998,-0.036398677303302485
2025-06-01,EMEA,Professional Services,3796511.55,379651.15,342426.94,-37224.21000000002,-0.09804845843348563
2025-06-01,EMEA,Facilities,3796511.55,265755.81,238586.26,-27169.54999999999,-0.10223501792867666
2025-06-01,EMEA,Marketing,3796511.55,265755.81,269425.11,3669.2999999999884,0.013807035864991957
2025-06-01,APAC,Payroll,3133217.9,1315951.52,1332794.81,16843.290000000037,0.012799324096681037
2025-06-01,APAC,Cloud,3133217.9,501314.86,496556.85,-4758.010000000009,-0.009491061166628912
2025-06-01,APAC,Travel,3133217.9,187993.07,192291.74,4298.669999999984,0.02286610884113964
2025-06-01,APAC,Software,3133217.9,375986.15,415269.23,39283.07999999996,0.10448012513226872
2025-06-01,APAC,Professional Services,3133217.9,313321.79,318820.78,5498.990000000049,0.01755061465721886
2025-06-01,APAC,Facilities,3133217.9,219325.25,212115.12,-7210.130000000005,-0.032874144677824395
2025-06-01,APAC,Marketing,3133217.9,219325.25,238736.22,19410.97,0.08850312492519671
2025-06-01,India,Payroll,2260257.02,949307.95,1065940.38,116632.42999999993,0.12286047957356719
2025-06-01,India,Cloud,2260257.02,361641.12,366942.33,5301.210000000021,0.014658758937589899
2025-06-01,India,Travel,2260257.02,135615.42,122330.87,-13284.550000000017,-0.09795751840019384
2025-06-01,India,Software,2260257.02,271230.84,241543.88,-29686.96000000002,-0.10945274512293668
2025-06-01,India,Professional Services,2260257.02,226025.7,255877.87,29852.169999999984,0.13207422872708716
2025-06-01,India,Facilities,2260257.02,158217.99,180035.19,21817.20000000001,0.13789329519354918
2025-06-01,India,Marketing,2260257.02,158217.99,155945.74,-2272.25,-0.014361514768326915
2025-07-01,North America,Payroll,5336640.0,2241388.8,2503441.99,262053.1900000004,0.11691554361296015
2025-07-01,North America,Cloud,5336640.0,853862.4,778241.23,-75621.17000000004,-0.08856364913128864
2025-07-01,North America,Travel,5336640.0,320198.4,297279.19,-22919.21000000002,-0.071578152795267
2025-07-01,North America,Software,5336640.0,640396.8,673355.55,32958.75,0.051466137869520895
2025-07-01,North America,Professional Services,5336640.0,533664.0,516817.08,-16846.919999999984,-0.031568402590393924
2025-07-01,North America,Facilities,5336640.0,373564.8,373411.73,-153.07000000000698,-0.0004097548805455091
2025-07-01,North America,Marketing,5336640.0,373564.8,368680.28,-4884.51999999996,-0.01307542894833764
2025-07-01,EMEA,Payroll,3789066.27,1591407.83,1770598.04,179190.20999999996,0.11259854741320455
2025-07-01,EMEA,Cloud,3789066.27,606250.6,610643.98,4393.380000000005,0.007246805199038161
2025-07-01,EMEA,Travel,3789066.27,227343.98,239055.62,11711.639999999985,0.05151506540881348
2025-07-01,EMEA,Software,3789066.27,454687.95,380112.87,-74575.08000000002,-0.16401375932658874
2025-07-01,EMEA,Professional Services,3789066.27,378906.63,377429.85,-1476.780000000028,-0.0038974773283856974
2025-07-01,EMEA,Facilities,3789066.27,265234.64,247342.33,-17892.310000000027,-0.06745842096643194
2025-07-01,EMEA,Marketing,3789066.27,265234.64,239372.92,-25861.72,-0.09750506193308688
2025-07-01,APAC,Payroll,2823117.49,1185709.35,1154015.48,-31693.87000000011,-0.02672988114667402
2025-07-01,APAC,Cloud,2823117.49,451698.8,484795.76,33096.96000000002,0.07327218934387256
2025-07-01,APAC,Travel,2823117.49,169387.05,151413.15,-17973.899999999994,-0.10611141760837087
2025-07-01,APAC,Software,2823117.49,338774.1,339604.27,830.1700000000419,0.0024505120078543254
2025-07-01,APAC,Professional Services,2823117.49,282311.75,271376.81,-10934.940000000002,-0.038733563162000884
2025-07-01,APAC,Facilities,2823117.49,197618.22,192437.89,-5180.329999999987,-0.02621382785453683
2025-07-01,APAC,Marketing,2823117.49,197618.22,213471.28,15853.059999999998,0.0802206395746303
2025-07-01,India,Payroll,2225621.36,934760.97,1034772.78,100011.81000000006,0.1069918548268014
2025-07-01,India,Cloud,2225621.36,356099.42,351697.87,-4401.549999999988,-0.012360452594952243
2025-07-01,India,Travel,2225621.36,133537.28,126102.54,-7434.740000000005,-0.055675388925100204
2025-07-01,India,Software,2225621.36,267074.56,262291.6,-4782.960000000021,-0.017908706842014534
2025-07-01,India,Professional Services,2225621.36,222562.14,226879.78,4317.639999999985,0.019399705628279744
2025-07-01,India,Facilities,2225621.36,155793.5,157994.21,2200.709999999992,0.014125813978118419
2025-07-01,India,Marketing,2225621.36,155793.5,142278.25,-13515.25,-0.0867510518731526
2025-08-01,North America,Payroll,5364784.51,2253209.5,2294349.19,41139.689999999944,0.01825826226988655
2025-08-01,North America,Cloud,5364784.51,858365.52,1031238.56,172873.04000000004,0.2013979312682551
2025-08-01,North America,Travel,5364784.51,321887.07,370217.63,48330.56,0.15014756572856436
2025-08-01,North America,Software,5364784.51,643774.14,599830.46,-43943.68000000005,-0.0682594675207054
2025-08-01,North America,Professional Services,5364784.51,536478.45,524144.45,-12333.999999999942,-0.02299067185270898
2025-08-01,North America,Facilities,5364784.51,375534.92,331569.03,-43965.889999999956,-0.11707537078043223
2025-08-01,North America,Marketing,5364784.51,375534.92,357788.43,-17746.48999999999,-0.04725656405002228
2025-08-01,EMEA,Payroll,3743252.57,1572166.08,1723830.25,151664.16999999993,0.09646828787961124
2025-08-01,EMEA,Cloud,3743252.57,598920.41,563987.36,-34933.05000000005,-0.058326698200183304
2025-08-01,EMEA,Travel,3743252.57,224595.15,212841.7,-11753.449999999983,-0.05233171775971112
2025-08-01,EMEA,Software,3743252.57,449190.31,372026.99,-77163.32,-0.17178313574929968
2025-08-01,EMEA,Professional Services,3743252.57,374325.26,369454.06,-4871.200000000012,-0.013013281550916472
2025-08-01,EMEA,Facilities,3743252.57,262027.68,239757.12,-22270.559999999998,-0.08499315797476052
2025-08-01,EMEA,Marketing,3743252.57,262027.68,250929.46,-11098.220000000001,-0.04235514354819308
2025-08-01,APAC,Payroll,2791234.39,1172318.44,1163477.99,-8840.449999999953,-0.007540997137262427
2025-08-01,APAC,Cloud,2791234.39,446597.5,383797.73,-62799.77000000002,-0.14061827484479877
2025-08-01,APAC,Travel,2791234.39,167474.06,147818.7,-19655.359999999986,-0.11736360842986661
2025-08-01,APAC,Software,2791234.39,334948.13,392003.11,57054.97999999998,0.17033974782901454
2025-08-01,APAC,Professional Services,2791234.39,279123.44,250375.45,-28747.98999999999,-0.1029938223747887
2025-08-01,APAC,Facilities,2791234.39,195386.41,178242.65,-17143.76000000001,-0.08774284762179728
2025-08-01,APAC,Marketing,2791234.39,195386.41,224099.04,28712.630000000005,0.1469530557422085
2025-08-01,India,Payroll,2379300.83,999306.35,905646.03,-93660.31999999995,-0.09372533257694195
2025-08-01,India,Cloud,2379300.83,380688.13,369473.09,-11215.039999999979,-0.02945991512790267
2025-08-01,India,Travel,2379300.83,142758.05,146658.83,3900.779999999999,0.0273244135794794
2025-08-01,India,Software,2379300.83,285516.1,325001.78,39485.68000000005,0.13829580888783524
2025-08-01,India,Professional Services,2379300.83,237930.08,219145.84,-18784.23999999999,-0.07894857178209662
2025-08-01,India,Facilities,2379300.83,166551.06,163282.96,-3268.100000000006,-0.019622210750264848
2025-08-01,India,Marketing,2379300.83,166551.06,176908.37,10357.309999999998,0.062186995387480556
2025-09-01,North America,Payroll,5444723.09,2286783.7,2217968.69,-68815.01000000024,-0.030092487540470152
2025-09-01,North America,Cloud,5444723.09,871155.7,861829.24,-9326.459999999963,-0.010705847416254022
2025-09-01,North America,Travel,5444723.09,326683.39,290750.94,-35932.45000000001,-0.10999166501853679
2025-09-01,North America,Software,5444723.09,653366.77,640917.59,-12449.180000000051,-0.019053892195956112
2025-09-01,North America,Professional Services,5444723.09,544472.31,532869.06,-11603.25,-0.02131100110490467
2025-09-01,North America,Facilities,5444723.09,381130.62,388209.58,7078.960000000021,0.01857357983989851
2025-09-01,North America,Marketing,5444723.09,381130.62,364198.44,-16932.179999999993,-0.044426186486931946
2025-09-01,EMEA,Payroll,3774202.35,1585164.99,1713590.72,128425.72999999998,0.08101726369820973
2025-09-01,EMEA,Cloud,3774202.35,603872.38,611381.13,7508.75,0.012434332565433776
2025-09-01,EMEA,Travel,3774202.35,226452.14,232824.62,6372.479999999981,0.02814051569572264
2025-09-01,EMEA,Software,3774202.35,452904.28,454830.22,1925.9399999999441,0.004252421725844463
2025-09-01,EMEA,Professional Services,3774202.35,377420.23,377422.78,2.550000000046566,6.7563945897827635e-06
2025-09-01,EMEA,Facilities,3774202.35,264194.16,248943.65,-15250.50999999998,-0.05772462949218855
2025-09-01,EMEA,Marketing,3774202.35,264194.16,270883.44,6689.280000000028,0.025319560432373028
2025-09-01,APAC,Payroll,2877997.25,1208758.84,1411169.7,202410.85999999987,0.167453468220344
2025-09-01,APAC,Cloud,2877997.25,460479.56,518439.38,57959.82000000001,0.12586838816472115
2025-09-01,APAC,Travel,2877997.25,172679.83,178010.07,5330.24000000002,0.030867762610143987
2025-09-01,APAC,Software,2877997.25,345359.67,324277.33,-21082.339999999967,-0.06104459157028951
2025-09-01,APAC,Professional Services,2877997.25,287799.72,262187.59,-25612.129999999946,-0.08899289408620671
2025-09-01,APAC,Facilities,2877997.25,201459.81,220657.2,19197.390000000014,0.09529141321040666
2025-09-01,APAC,Marketing,2877997.25,201459.81,205694.48,4234.670000000013,0.02101992451993285
2025-09-01,India,Payroll,2202270.33,924953.54,795860.66,-129092.88,-0.13956688029973915
2025-09-01,India,Cloud,2202270.33,352363.25,378506.87,26143.619999999995,0.07419508135425586
2025-09-01,India,Travel,2202270.33,132136.22,136939.85,4803.630000000005,0.03635362052887546
2025-09-01,India,Software,2202270.33,264272.44,240795.94,-23476.5,-0.08883446189091833
2025-09-01,India,Professional Services,2202270.33,220227.03,211919.63,-8307.399999999994,-0.03772198172040914
2025-09-01,India,Facilities,2202270.33,154158.92,157411.27,3252.3499999999767,0.02109738443938227
2025-09-01,India,Marketing,2202270.33,154158.92,154805.98,647.0599999999977,0.004197356857455914
2025-10-01,North America,Payroll,5412217.15,2273131.2,2254311.81,-18819.39000000013,-0.008279060179192528
2025-10-01,North America,Cloud,5412217.15,865954.74,848498.66,-17456.079999999958,-0.020158189791766666
2025-10-01,North America,Travel,5412217.15,324733.03,328696.4,3963.3699999999953,0.01220501037421415
2025-10-01,North America,Software,5412217.15,649466.06,725920.78,76454.71999999997,0.11771934625806307
2025-10-01,North America,Professional Services,5412217.15,541221.71,430091.21,-111130.49999999994,-0.20533267226105906
2025-10-01,North America,Facilities,5412217.15,378855.2,371676.64,-7178.559999999998,-0.01894803080438119
2025-10-01,North America,Marketing,5412217.15,378855.2,384205.01,5349.809999999998,0.014120988704919445
2025-10-01,EMEA,Payroll,3824849.74,1606436.89,1558640.31,-47796.57999999984,-0.029753163848223036
2025-10-01,EMEA,Cloud,3824849.74,611975.96,525970.24,-86005.71999999997,-0.1405377426917227
2025-10-01,EMEA,Travel,3824849.74,229490.98,235512.75,6021.7699999999895,0.026239680531234776
2025-10-01,EMEA,Software,3824849.74,458981.97,522407.78,63425.810000000056,0.13818802076255862
2025-10-01,EMEA,Professional Services,3824849.74,382484.97,335550.66,-46934.31,-0.12270890016933214
2025-10-01,EMEA,Facilities,3824849.74,267739.48,286241.95,18502.47000000003,0.06910624462257128
2025-10-01,EMEA,Marketing,3824849.74,267739.48,260702.75,-7036.729999999981,-0.026282003685074693
2025-10-01,APAC,Payroll,2938060.3,1233985.33,1130044.42,-103940.91000000015,-0.08423188466916388
2025-10-01,APAC,Cloud,2938060.3,470089.65,457511.7,-12577.950000000012,-0.02675649208613721
2025-10-01,APAC,Travel,2938060.3,176283.62,194617.74,18334.119999999995,0.10400353702743338
2025-10-01,APAC,Software,2938060.3,352567.24,369001.25,16434.01000000001,0.04661241356400558
2025-10-01,APAC,Professional Services,2938060.3,293806.03,334523.12,40717.08999999997,0.13858493646301256
2025-10-01,APAC,Facilities,2938060.3,205664.22,225036.34,19372.119999999995,0.0941929519874677
2025-10-01,APAC,Marketing,2938060.3,205664.22,212888.57,7224.350000000006,0.03512691706899725
2025-10-01,India,Payroll,2343073.64,984090.93,1018651.66,34560.72999999998,0.035119447752658364
2025-10-01,India,Cloud,2343073.64,374891.78,399724.26,24832.47999999998,0.06623906237688108
2025-10-01,India,Travel,2343073.64,140584.42,137248.96,-3335.460000000021,-0.023725673157808103
2025-10-01,India,Software,2343073.64,281168.84,282665.69,1496.8499999999767,0.005323669578748401
2025-10-01,India,Professional Services,2343073.64,234307.36,221234.44,-13072.919999999984,-0.05579389396901568
2025-10-01,India,Facilities,2343073.64,164015.15,176999.7,12984.550000000017,0.07916677209391948
2025-10-01,India,Marketing,2343073.64,164015.15,148554.38,-15460.76999999999,-0.09426427985463531
2025-11-01,North America,Payroll,5812261.45,2441149.81,2403917.19,-37232.62000000011,-0.015252083197630592
2025-11-01,North America,Cloud,5812261.45,929961.83,1017099.04,87137.21000000008,0.09369977045186907
