Transaction ID,Date,Fiscal Year,Fiscal Period,Region,Country,Legal Entity,Department,Cost Center,Profit Center,GL Account,Cost Category,Currency,FX Rate to USD,Revenue Local,Budget Local,Actual Local,Revenue USD,Budget USD,Actual USD,Variance USD,Variance %,Profit USD,Margin %,Payment Status,Payment Due Date,Anomaly Flag,Anomaly,Business Unit,Account / Cost Category,Revenue,Budget,Actual,Variance,Profit
TXN-00011,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,Engineering,CC-ENG,PC-TECH,520100,Cloud Infrastructure,INR,0.0118,341583019.4859868,52062026.67155391,54815421.02368409,4030679.6299346443,614331.9147243361,646821.9680794723,32490.053355136188,5.288680691400376,3383857.661855172,0.8395253338231795,On Time,2025-01-17,0,,India,Cloud Infrastructure,4030679.6299346443,614331.9147243361,646821.9680794723,32490.053355136188,3383857.661855172
TXN-00012,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,Operations,CC-OPS,PC-OPS,560100,Office & Facilities,INR,0.0118,412676449.6482208,29344543.641164284,28686663.72277812,4869582.105849005,346265.61496573855,338502.6319287818,-7762.98303695675,-2.2419156570671515,4531079.473920223,0.930486307742466,On Time,2025-01-19,0,,India,Office & Facilities,4869582.105849005,346265.61496573855,338502.6319287818,-7762.98303695675,4531079.473920223
TXN-00013,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,Engineering,CC-ENG,PC-TECH,520100,Cloud Infrastructure,INR,0.0118,370902162.7786269,50728053.577335976,51317219.95236287,4376645.520787798,598591.0322125645,605543.1954378819,6952.163225317374,1.1614212126800798,3771102.325349916,0.8616421657724558,On Time,2025-01-12,0,,India,Cloud Infrastructure,4376645.520787798,598591.0322125645,605543.1954378819,6952.163225317374,3771102.325349916
TXN-00014,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,Operations,CC-OPS,PC-OPS,540100,Travel,INR,0.0118,352318208.61199915,18594616.717852112,19344062.6709898,4157354.86162159,219416.4772706549,228259.93951767965,8843.462247024756,4.0304458247755734,3929094.9221039102,0.9450949107989675,On Time,2025-01-17,0,,India,Travel,4157354.86162159,219416.4772706549,228259.93951767965,8843.462247024756,3929094.9221039102
TXN-00015,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,Engineering,CC-ENG,PC-TECH,520200,Software Licenses,INR,0.0118,433385830.02734447,43438457.62781945,42216287.13387053,5113952.794322665,512573.8000082695,498152.18817967223,-14421.611828597263,-2.8135678859053264,4615800.606142992,0.90258959982331,On Time,2025-01-25,0,,India,Software Licenses,5113952.794322665,512573.8000082695,498152.18817967223,-14421.611828597263,4615800.606142992
TXN-00016,2025-01-01,2025,FY25,India,India,FinSight India Pvt Ltd,Operations,CC-OPS,PC-OPS,530100,Professional Services,INR,0.0118,364859970.88880825,30340209.46382201,32751136.439352054,4305347.656487937,358014.47167309973,386463.4099843542,28448.93831125449,7.946309594219699,3918884.2465035827,0.9102364220455057,On Time,2025-01-17,0,,India,Professional Services,4305347.656487937,358014.47167309973,386463.4099843542,28448.93831125449,3918884.2465035827
TXN-00017,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,HR,CC-HR,PC-CORP,530100,Professional Services,SGD,0.745,8146862.397047848,658399.0689739835,623705.7909288466,6069412.485800647,490507.30638561776,464660.81424199074,-25846.492143627023,-5.269338867565719,5604751.671558657,0.9234422087262875,On Time,2025-01-19,0,,APAC,Professional Services,6069412.485800647,490507.30638561776,464660.81424199074,-25846.492143627023,5604751.671558657
TXN-00018,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,Marketing,CC-MKT,PC-GROWTH,550100,Marketing,SGD,0.745,6304387.519557493,619701.080483366,670414.2045903375,4696768.702070332,461677.30496010766,499458.58241980145,37781.27745969378,8.183481633986398,4197310.119650531,0.8936591060573963,On Time,2025-01-19,0,,APAC,Marketing,4696768.702070332,461677.30496010766,499458.58241980145,37781.27745969378,4197310.119650531
TXN-00019,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,HR,CC-HR,PC-CORP,570100,Training,SGD,0.745,8705863.409010757,149078.29221948434,147616.9468477722,6485868.239713014,111063.32770351584,109974.62540159028,-1088.7023019255575,-0.9802536304619417,6375893.614311424,0.9830439624523646,On Time,2025-01-13,0,,APAC,Training,6485868.239713014,111063.32770351584,109974.62540159028,-1088.7023019255575,6375893.614311424
TXN-00020,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,HR,CC-HR,PC-CORP,570100,Training,SGD,0.745,8318844.074069569,148592.14525261335,138488.69344715532,6197538.835181829,110701.14821319694,103174.07661813073,-7527.0715950662125,-6.79945214350441,6094364.758563698,0.9833524114391284,On Time,2025-01-19,0,,APAC,Training,6197538.835181829,110701.14821319694,103174.07661813073,-7527.0715950662125,6094364.758563698
TXN-00021,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,Sales,CC-SALES,PC-GROWTH,550100,Marketing,SGD,0.745,6916947.27216253,780356.350068688,774782.7420714704,5153125.717761084,581365.4808011726,577213.1428432454,-4152.337957927142,-0.7142388213701399,4575912.574917839,0.8879877622908002,On Time,2025-01-18,0,,APAC,Marketing,5153125.717761084,581365.4808011726,577213.1428432454,-4152.337957927142,4575912.574917839
TXN-00022,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,Marketing,CC-MKT,PC-GROWTH,520200,Software Licenses,SGD,0.745,6572489.134526424,523210.9594043096,498073.3815619468,4896504.405222186,389792.16475621064,371064.6692636504,-18727.495492560265,-4.804482282057434,4525439.735958535,0.9242184549312555,On Time,2025-01-17,0,,APAC,Software Licenses,4896504.405222186,389792.16475621064,371064.6692636504,-18727.495492560265,4525439.735958535
TXN-00023,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,Engineering,CC-ENG,PC-TECH,520200,Software Licenses,SGD,0.745,8280551.907561417,617273.7322049466,603925.8548202668,6169011.171133256,459868.9304926852,449924.7618410988,-9944.168651586398,-2.162391932182201,5719086.409292157,0.9270669562171587,On Time,2025-01-21,0,,APAC,Software Licenses,6169011.171133256,459868.9304926852,449924.7618410988,-9944.168651586398,5719086.409292157
TXN-00024,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,IT,CC-IT,PC-TECH,530100,Professional Services,SGD,0.745,8446743.932675352,562997.2347046307,560572.802294578,6292824.229843137,419432.93985494983,417626.73770946066,-1806.2021454891656,-0.43062954142652565,5875197.492133676,0.9336344505335292,7 Days Late,2025-01-14,0,,APAC,Professional Services,6292824.229843137,419432.93985494983,417626.73770946066,-1806.2021454891656,5875197.492133676
TXN-00025,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,HR,CC-HR,PC-CORP,510100,Payroll,SGD,0.745,8735554.670267316,2088679.5292079123,2093788.9773880525,6507988.22934915,1556066.2492598947,1559872.7881540991,3806.538894204423,0.24462576037587802,4948115.441195051,0.7603141350011171,On Time,2025-01-25,0,,APAC,Payroll,6507988.22934915,1556066.2492598947,1559872.7881540991,3806.538894204423,4948115.441195051
TXN-00026,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,Engineering,CC-ENG,PC-TECH,520100,Cloud Infrastructure,SGD,0.745,8612556.770508742,1265227.235483329,1191828.3267686095,6416354.794029012,942594.2904350802,887912.1034426141,-54682.1869924661,-5.80124318037467,5528442.690586398,0.8616173618907584,7 Days Late,2025-01-17,0,,APAC,Cloud Infrastructure,6416354.794029012,942594.2904350802,887912.1034426141,-54682.1869924661,5528442.690586398
TXN-00027,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,Sales,CC-SALES,PC-GROWTH,510100,Payroll,SGD,0.745,6448046.983657138,2831683.396010252,2769420.143753183,4803795.002824568,2109604.130027638,2063218.0070961213,-46386.1229315165,-2.198806983322923,2740576.995728447,0.5705024869123316,On Time,2025-01-15,0,,APAC,Payroll,4803795.002824568,2109604.130027638,2063218.0070961213,-46386.1229315165,2740576.995728447
TXN-00028,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,Finance,CC-FIN,PC-CORP,530100,Professional Services,SGD,0.745,6607920.457939061,607660.6499511944,652788.6833079444,4922900.7411646005,452707.1842136398,486327.5690644186,33620.38485077879,7.426518955995359,4436573.172100182,0.9012111771830343,On Time,2025-01-25,0,,APAC,Professional Services,4922900.7411646005,452707.1842136398,486327.5690644186,33620.38485077879,4436573.172100182
TXN-00029,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,Marketing,CC-MKT,PC-GROWTH,520200,Software Licenses,SGD,0.745,8832816.795669073,548146.2268938739,569351.7177326196,6580448.512773459,408368.939035936,424167.0297108016,15798.090674865583,3.8685828339837003,6156281.4830626575,0.9355413192752073,On Time,2025-01-24,0,,APAC,Software Licenses,6580448.512773459,408368.939035936,424167.0297108016,15798.090674865583,6156281.4830626575
TXN-00030,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,Engineering,CC-ENG,PC-TECH,510100,Payroll,SGD,0.745,6522430.633386276,1872050.5750790003,2007755.1964916808,4859210.821872775,1394677.6784338553,1495777.6213863022,101099.94295244687,7.248982651387697,3363433.2004864733,0.6921768418333785,On Time,2025-01-11,0,,APAC,Payroll,4859210.821872775,1394677.6784338553,1495777.6213863022,101099.94295244687,3363433.2004864733
TXN-00031,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,Operations,CC-OPS,PC-OPS,530100,Professional Services,SGD,0.745,8199922.963663049,663741.005237636,634126.5536043885,6108942.607928972,494487.04890203883,472424.28243526944,-22062.76646676939,-4.4617480914328596,5636518.325493703,0.9226667669422698,On Time,2025-01-19,0,,APAC,Professional Services,6108942.607928972,494487.04890203883,472424.28243526944,-22062.76646676939,5636518.325493703
TXN-00032,2025-01-01,2025,FY25,APAC,Singapore,FinSight APAC Pte Ltd,Engineering,CC-ENG,PC-TECH,520200,Software Licenses,SGD,0.745,7993020.175632556,626063.527477924,651361.5790259405,5954800.030846254,466417.3279710534,485264.3763743257,18847.04840327229,4.040812223949357,5469535.654471928,0.9185087032544125,15 Days Late,2025-01-24,0,,APAC,Software Licenses,5954800.030846254,466417.3279710534,485264.3763743257,18847.04840327229,5469535.654471928
TXN-00033,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,HR,CC-HR,PC-CORP,530100,Professional Services,EUR,1.085,6178881.5189391645,531492.8864161075,529173.1673615739,6704086.448048993,576669.7817614767,574152.8865873077,-2516.8951741689816,-0.4364534528722757,6129933.561461685,0.9143577740179057,On Time,2025-01-24,0,,EMEA,Professional Services,6704086.448048993,576669.7817614767,574152.8865873077,-2516.8951741689816,6129933.561461685
TXN-00034,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,Sales,CC-SALES,PC-GROWTH,540100,Travel,EUR,1.085,7115908.529377195,456049.1939729164,426767.0237380063,7720760.754374256,494813.3754606143,463042.2207557368,-31771.154704877466,-6.420835870756764,7257718.533618519,0.940026347728312,On Time,2025-01-25,0,,EMEA,Travel,7720760.754374256,494813.3754606143,463042.2207557368,-31771.154704877466,7257718.533618519
TXN-00035,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,Engineering,CC-ENG,PC-TECH,520200,Software Licenses,EUR,1.085,7280220.712958375,824963.6214443172,789092.34737664,7899039.473559837,895085.5292670841,856165.1969036544,-38920.33236342971,-4.348224956256253,7042874.2766561825,0.8916114801338233,On Time,2025-01-12,0,,EMEA,Software Licenses,7899039.473559837,895085.5292670841,856165.1969036544,-38920.33236342971,7042874.2766561825
TXN-00036,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,IT,CC-IT,PC-TECH,530100,Professional Services,EUR,1.085,7594291.252943481,678291.1354629948,696675.50515856,8239806.009443677,735945.8819773493,755892.9230970376,19947.041119688307,2.710395099445944,7483913.086346639,0.9082632622381273,7 Days Late,2025-01-20,0,,EMEA,Professional Services,8239806.009443677,735945.8819773493,755892.9230970376,19947.041119688307,7483913.086346639
TXN-00037,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,Sales,CC-SALES,PC-GROWTH,510100,Payroll,EUR,1.085,6177276.128654125,1994951.4628180745,1924101.3790146175,6702344.599589726,2164522.337157611,2087649.99623086,-76872.3409267508,-3.5514690519524676,4614694.603358866,0.6885194479020591,On Time,2025-01-14,0,,EMEA,Payroll,6702344.599589726,2164522.337157611,2087649.99623086,-76872.3409267508,4614694.603358866
TXN-00038,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,Operations,CC-OPS,PC-OPS,540100,Travel,EUR,1.085,8291686.132599956,463173.6785857082,481091.00147652125,8996479.453870952,502543.4412654934,521983.7366020256,19440.295336532174,3.8683810672323307,8474495.717268927,0.9419791109090535,On Time,2025-01-13,0,,EMEA,Travel,8996479.453870952,502543.4412654934,521983.7366020256,19440.295336532174,8474495.717268927
TXN-00039,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,HR,CC-HR,PC-CORP,570100,Training,EUR,1.085,6357077.54562865,129805.44630394576,142082.02012514634,6897429.137007086,140838.90923978115,154158.9918357838,13320.082596002641,9.45767236334167,6743270.145171301,0.9776497896863241,On Time,2025-01-13,0,,EMEA,Training,6897429.137007086,140838.90923978115,154158.9918357838,13320.082596002641,6743270.145171301
TXN-00040,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,Operations,CC-OPS,PC-OPS,540100,Travel,EUR,1.085,8172535.852566671,365060.82866806193,378670.83147650445,8867201.400034837,396090.9991048472,410857.8521520073,14766.853047160082,3.7281465826117457,8456343.54788283,0.9536654426107438,7 Days Late,2025-01-21,0,,EMEA,Travel,8867201.400034837,396090.9991048472,410857.8521520073,14766.853047160082,8456343.54788283
TXN-00041,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,Engineering,CC-ENG,PC-TECH,520200,Software Licenses,EUR,1.085,6983399.144967952,532048.4950187627,558642.1589835641,7576988.072290228,577272.6170953575,606126.7424971671,28854.12540180958,4.998353385787442,6970861.32979306,0.9200042633412832,On Time,2025-01-13,0,,EMEA,Software Licenses,7576988.072290228,577272.6170953575,606126.7424971671,28854.12540180958,6970861.32979306
TXN-00042,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,HR,CC-HR,PC-CORP,530100,Professional Services,EUR,1.085,8301721.4346666355,591425.4005752916,562358.2529825962,9007367.7566133,641696.5596241914,610158.7044861169,-31537.85513807449,-4.914761449951452,8397209.052127182,0.9322600430033366,On Time,2025-01-18,0,,EMEA,Professional Services,9007367.7566133,641696.5596241914,610158.7044861169,-31537.85513807449,8397209.052127182
TXN-00043,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,IT,CC-IT,PC-TECH,530100,Professional Services,EUR,1.085,7569801.118652053,985274.2980697792,941634.798640521,8213234.213737478,1069022.6134057103,1021673.7565249653,-47348.856880745036,-4.429172618706375,7191560.457212512,0.8756064018220604,On Time,2025-01-24,0,,EMEA,Professional Services,8213234.213737478,1069022.6134057103,1021673.7565249653,-47348.856880745036,7191560.457212512
TXN-00044,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,Engineering,CC-ENG,PC-TECH,510100,Payroll,EUR,1.085,6902593.7398914695,2423912.5109773767,2295834.2011478767,7489314.207782244,2629945.0744104534,2490980.1082454463,-138964.9661650071,-5.283949369024691,4998334.099536798,0.6673954331283048,On Time,2025-01-19,0,,EMEA,Payroll,7489314.207782244,2629945.0744104534,2490980.1082454463,-138964.9661650071,4998334.099536798
TXN-00045,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,Finance,CC-FIN,PC-CORP,530100,Professional Services,EUR,1.085,6857029.461703961,711023.1060962031,724889.3752982772,7439876.965948797,771460.0701143803,786504.9721986308,15044.902084250469,1.950185455744954,6653371.993750166,0.8942852179144432,On Time,2025-01-13,0,,EMEA,Professional Services,7439876.965948797,771460.0701143803,786504.9721986308,15044.902084250469,6653371.993750166
TXN-00046,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,HR,CC-HR,PC-CORP,570100,Training,EUR,1.085,8279703.967696888,195621.90666873544,203673.31640149181,8983478.804951124,212249.76873557793,220985.54829561862,8735.779560040683,4.115801685948488,8762493.256655505,0.9754008938971587,On Time,2025-01-16,0,,EMEA,Training,8983478.804951124,212249.76873557793,220985.54829561862,8735.779560040683,8762493.256655505
TXN-00047,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,HR,CC-HR,PC-CORP,570100,Training,EUR,1.085,7285282.397635847,225891.81672804183,221258.69334392546,7904531.401434894,245092.62114992537,240065.68227815913,-5026.938871766237,-2.051036399292989,7664465.719156735,0.969629359403319,On Time,2025-01-19,0,,EMEA,Training,7904531.401434894,245092.62114992537,240065.68227815913,-5026.938871766237,7664465.719156735
TXN-00048,2025-01-01,2025,FY25,EMEA,Germany,FinSight Europe GmbH,HR,CC-HR,PC-CORP,510100,Payroll,EUR,1.085,6246810.350148011,1931027.885571349,1878220.437221944,6777789.229910592,2095165.2558449137,2037869.1743858093,-57296.081459104316,-2.734680775144805,4739920.055524782,0.6993312855772159,On Time,2025-01-22,0,,EMEA,Payroll,6777789.229910592,2095165.2558449137,2037869.1743858093,-57296.081459104316,4739920.055524782
TXN-00049,2025-01-01,2025,FY25,North America,United States,FinSight US Inc,Engineering,CC-ENG,PC-TECH,520200,Software Licenses,USD,1.0,11287844.857607918,718388.8605521194,671950.515097054,11287844.857607918,718388.8605521194,671950.515097054,-46438.345455065486,-6.46423518028595,10615894.342510864,0.94047131905395,7 Days Late,2025-01-21,0,,North America,Software Licenses,11287844.857607918,718388.8605521194,671950.515097054,-46438.345455065486,10615894.342510864
TXN-00050,2025-01-01,2025,FY25,North America,United States,FinSight US Inc,Marketing,CC-MKT,PC-GROWTH,540100,Travel,USD,1.0,10001639.685062103,682986.1456032017,637813.2750874053,10001639.685062103,682986.1456032017,637813.2750874053,-45172.870515796356,-6.614024428841152,9363826.409974698,0.9362291289057325,On Time,2025-01-22,0,,North America,Travel,10001639.685062103,682986.1456032017,637813.2750874053,-45172.870515796356,9363826.409974698
TXN-00051,2025-01-01,2025,FY25,North America,United States,FinSight US Inc,Marketing,CC-MKT,PC-GROWTH,550100,Marketing,USD,1.0,9766428.317102017,826703.982099645,820702.0343346854,9766428.317102017,826703.982099645,820702.0343346854,-6001.947764959536,-0.7260092965460162,8945726.282767331,0.9159670242090906,On Time,2025-01-13,0,,North America,Marketing,9766428.317102017,826703.982099645,820702.0343346854,-6001.947764959536,8945726.282767331
TXN-00052,2025-01-01,2025,FY25,North America,United States,FinSight US Inc,IT,CC-IT,PC-TECH,520200,Software Licenses,USD,1.0,8352148.6860766355,1005720.3453033442,941412.3190965166,8352148.6860766355,1005720.3453033442,941412.3190965166,-64308.026206827606,-6.3942254432002255,7410736.366980119,0.8872850143740989,On Time,2025-01-18,0,,North America,Software Licenses,8352148.6860766355,1005720.3453033442,941412.3190965166,-64308.026206827606,7410736.366980119
TXN-00053,2025-01-01,2025,FY25,North America,United States,FinSight US Inc,Marketing,CC-MKT,PC-GROWTH,520200,Software Licenses,USD,1.0,11076803.333923357,1057717.4246687787,1032816.8908192017,11076803.333923357,1057717.4246687787,1032816.8908192017,-24900.533849576954,-2.3541763867012486,10043986.443104155,0.9067585782934198,On Time,2025-01-17,0,,North America,Software Licenses,11076803.333923357,1057717.4246687787,1032816.8908192017,-24900.533849576954,10043986.443104155
TXN-00054,2025-01-01,2025,FY25,North America,United States,FinSight US Inc,Finance,CC-FIN,PC-CORP,520200,Software Licenses,USD,1.0,11208494.528522907,742166.9881564499,792241.4146443551,11208494.528522907,742166.9881564499,792241.4146443551,50074.426487905206,6.747056563683946,10416253.113878552,0.9293177676423634,On Time,2025-01-16,0,,North America,Software Licenses,11208494.528522907,742166.9881564499,792241.4146443551,50074.426487905206,10416253.113878552
TXN-00055,2025-01-01,2025,FY25,North America,United States,FinSight US Inc,HR,CC-HR,PC-CORP,510100,Payroll,USD,1.0,9615551.354884334,3377077.1219431497,3158674.379452569,9615551.354884334,3377077.1219431497,3158674.379452569,-218402.74249058077,-6.467212166150152,6456876.9754317645,0.6715035609634509,On Time,2025-01-21,0,,North America,Payroll,9615551.354884334,3377077.1219431497,3158674.379452569,-218402.74249058077,6456876.9754317645
TXN-00056,2025-01-01,2025,FY25,North America,United States,FinSight US Inc,Procurement,CC-PROC,PC-OPS,530100,Professional Services,USD,1.0,10165545.170419335,1163031.9150410688,1250381.8961272326,10165545.170419335,1163031.9150410688,1250381.8961272326,87349.98108616378,7.510540334835032,8915163.274292102,0.8769980482930013,On Time,2025-01-21,0,,North America,Professional Services,10165545.170419335,1163031.9150410688,1250381.8961272326,87349.98108616378,8915163.274292102
TXN-00057,2025-01-01,2025,FY25,North America,United States,FinSight US Inc,Marketing,CC-MKT,PC-GROWTH,550100,Marketing,USD,1.0,8973814.600887513,556524.3200236984,563720.7489382003,8973814.600887513,556524.3200236984,563720.7489382003,7196.428914501914,1.293102323757472,8410093.851949312,0.9371815917745338,On Time,2025-01-21,0,,North America,Marketing,8973814.600887513,556524.3200236984,563720.7489382003,7196.428914501914,8410093.851949312
TXN-00058,2025-01-01,2025,FY25,North America,United States,FinSight US Inc,Sales,CC-SALES,PC-GROWTH,540100,Travel,USD,1.0,11420908.369208537,706238.7748355939,677239.3934726287,11420908.369208537,706238.7748355939,677239.3934726287,-28999.381362965214,-4.106172359301005,10743668.975735908,0.9407017925738282,7 Days Late,2025-01-15,0,,North America,Travel,11420908.369208537,706238.7748355939,677239.3934726287,-28999.381362965214,10743668.975735908
TXN-00059,2025-01-01,2025,FY25,North America,United States,FinSight US Inc,Finance,CC-FIN,PC-CORP,520200,Software Licenses,USD,1.0,10211060.991761303,737990.3612429372,683420.7176102172,10211060.991761303,737990.3612429372,683420.7176102172,-54569.64363271999,-7.39435722992544,9527640.274151085,0.9330705478929536,On Time,2025-01-23,0,,North America,Software Licenses,10211060.991761303,737990.3612429372,683420.7176102172,-54569.64363271999,9527640.274151085
TXN-00060,2025-01-01,2025,FY25,North America,United States,FinSight US Inc,IT,CC-IT,PC-TECH,530100,Professional Services,USD,1.0,8634987.24240498,782470.2759728626,837481.3087364167,8634987.24240498,782470.2759728626,837481.3087364167,55011.03276355413,7.030430989235686,7797505.933668564,0.9030130230391441,15 Days Late,2025-01-11,0,,North America,Professional Services,8634987.24240498,782470.2759728626,837481.3087364167,55011.03276355413,7797505.933668564
